subject	predicate	object
scapular	IsA	garment
scapular	IsA	feather
scapular	Synonym	scapular
scapular	PartOf	monastic_habit
stabilizer	IsA	airfoil
stabilizer	PartOf	tail
stabilizer	IsA	stabilizer
stabilizer	IsA	stabilizer
reversible	SimilarTo	double-faced
reversible	SimilarTo	changeable
reversible	HasContext	physics
loop	Synonym	loop
loop	MannerOf	tie
loop	IsA	intrauterine_device
loop	MannerOf	knit
breakdown	Synonym	decomposition
breakdown	IsA	breakdown
blastocyst	Synonym	blastodermic_vessicle
rat	IsA	a_rodent
rat	RelatedTo	mouse
rat	RelatedTo	rodent
rat	MannerOf	hire
hospice	IsA	housing
hospice	IsA	medical_care
locomotor	Synonym	locomotive
convert	MannerOf	persuade
neurotropic	HasContext	medicine
cleavage	IsA	cell_division
cleavage	HasContext	embryology
positioning	SimilarTo	orienting
positioning	Synonym	placement
regular	SimilarTo	symmetrical
regular	SimilarTo	full-time
regular	SimilarTo	normal
mvp	Synonym	most_valuable_player
rearrangement	IsA	arrangement
twofold	Synonym	three-fold
twofold	Synonym	two_times
twofold	Synonym	two-fold
ischaemic	Synonym	ischemic
nonsteroidal	Synonym	nonsteroid
transformation	IsA	mapping
publication	IsA	publication
ward	IsA	block
ward	IsA	ward
specialized	SimilarTo	specialistic
specialized	SimilarTo	special
specialized	RelatedTo	specific
specialized	SimilarTo	differentiated
unrecognized	SimilarTo	unestablished
unrecognized	Synonym	unrecognised
medulla	IsA	medulla
medulla	IsA	animal_tissue
medulla	Synonym	myelin
medulla	Synonym	medulla_oblongata
stiff	Synonym	stiffly
stiff	Synonym	unfaltering
stiff	Synonym	cadaver
stiff	SimilarTo	strong
occurrence	Synonym	happening
caloric	Synonym	thermal
elongation	IsA	longness
elongation	IsA	addition
primordial	Synonym	aboriginal
signature	Synonym	touch
signature	Synonym	key_signature
inmates	CapableOf	'scape_prisons
tip	IsA	end
tube	MannerOf	ride
street	RelatedTo	road
street	UsedFor	driving_on
street	RelatedTo	avenue
street	UsedFor	walking
patency	Synonym	obviousness
patency	IsA	openness
siblings	CapableOf	throw_pillows_at_each_other
siblings	CapableOf	needle_one_another
siblings	CapableOf	bug_each_other
siblings	CapableOf	bug_siblings
advanced	SimilarTo	late
advanced	SimilarTo	civilized
advanced	Synonym	sophisticated
advanced	SimilarTo	high
household	Synonym	family
need	RelatedTo	want
need	RelatedTo	requirement
need	RelatedTo	desire
need	CausesDesire	buy_something
possible	IsA	possibility
possible	SimilarTo	attainable
fertility	Synonym	richness
fertility	Synonym	birthrate
prospective	SimilarTo	future
prospective	RelatedTo	future
prospective	SimilarTo	potential
ex	Synonym	old-fashioned
ex	Synonym	ex-husband
ex	Synonym	exwife
ex	Synonym	X
discovery	IsA	disclosure
phage	Synonym	bacteriophage
adjacent	Synonym	side_by_side
adjacent	SimilarTo	near
hyperactive	SimilarTo	active
machinery	UsedFor	help
machinery	UsedFor	function
abundance	IsA	ratio
abundance	IsA	abundance
abundance	HasContext	physics
emerging	SimilarTo	future
rodents	IsA	mammals
elimination	Synonym	elimination
basis	Synonym	footing
immunologic	Synonym	immunological
home	RelatedTo	house
home	RelatedTo	place
home	RelatedTo	family
home	RelatedTo	living
inaccurate	SimilarTo	outside
inaccurate	RelatedTo	inexact
inaccurate	SimilarTo	faulty
tricyclic	Synonym	tricyclic
tricyclic	Synonym	tricyclic
tricyclic	IsA	antidepressant
duration	IsA	temporal_property
haploid	Synonym	haploid
haploid	HasContext	genetics
haploid	IsA	organism
haploid	HasContext	genetics
agent	RelatedTo	secret
agent	RelatedTo	spy
agent	RelatedTo	person
agent	IsA	agent
diabetic	IsA	sick_person
diabetic	SimilarTo	ill
transplant	MannerOf	displace
transplant	Synonym	transplant
transplant	IsA	movement
office	RelatedTo	work
office	RelatedTo	place
office	UsedFor	work
office	RelatedTo	room
anthrax	IsA	a_disease
anthrax	IsA	zoonosis
anthrax	IsA	anthrax
nature	RelatedTo	outdoors
nature	IsA	trait
users	CapableOf	explain_that_verb
users	CapableOf	train_Open_Mind
probably	Synonym	in_all_probability
probably	Synonym	plausibly
faster	Synonym	quicker
showing	Synonym	display
showing	Synonym	screening
cultures	ReceivesAction	grown_in_testubes_and_artists_collectives
december	IsA	a_month
increment	Synonym	increase
increment	Synonym	increase
record	RelatedTo	music
record	RelatedTo	vinyl
record	RelatedTo	disc
record	RelatedTo	cd
paternal	Synonym	parental
paternal	SimilarTo	paternal
paternal	SimilarTo	paternalistic
paternal	Synonym	agnatic
third	Synonym	3rd
third	IsA	rank
third	IsA	interval
third	Synonym	one-third
broadly	Synonym	broadly_speaking
useful	SimilarTo	utilizable
useful	SimilarTo	utilitarian
useful	SimilarTo	multipurpose
useful	SimilarTo	handy
soluble	SimilarTo	answerable
soluble	SimilarTo	disintegrable
soluble	SimilarTo	soluble
soluble	SimilarTo	oil-soluble
dynamic	SimilarTo	high-powered
dynamic	Synonym	active
dynamic	SimilarTo	impulsive
dynamic	SimilarTo	can-do
considered	SimilarTo	well-advised
crystal	IsA	crystal
crystal	IsA	glassware
crystal	IsA	crystal
crystal	IsA	component
disrupt	Synonym	interrupt
disrupt	Synonym	interrupt
synthetic	SimilarTo	polysynthetic
synthetic	Synonym	synthetic
pathogenic	SimilarTo	unhealthful
yellow	IsA	a_color
yellow	IsA	a_colour
yellow	IsA	a_primary_color
yellow	RelatedTo	color
variety	Synonym	variety_show
validity	IsA	legality
cytosol	IsA	cytoplasm
infusion	IsA	extraction
skewed	SimilarTo	inclined
comprehensive	SimilarTo	statewide
