subject	predicate	object
word	PartOf	a_sentence
word	PartOf	language
word	RelatedTo	sentence
word	CapableOf	mean_things
cells	AtLocation	jail
cancer	IsA	a_disease
cancer	CapableOf	kill
cancer	Causes	death
cancer	CapableOf	hurry_death
risk	IsA	a_board_game
risk	IsA	venture
cell	RelatedTo	phone
cell	RelatedTo	room
cell	RelatedTo	prison
cell	RelatedTo	jail
patients	AtLocation	the_dentist
patients	IsA	people
patients	AtLocation	the_doctor
patients	DefinedAs	plural_form_of_patient
ci	Synonym	101
ci	Synonym	curie
mice	CapableOf	eat_cheese
mice	IsA	small_animals
mice	AtLocation	a_laboratory
mice	CapableOf	bell_the_cat
increased	SimilarTo	redoubled
increased	SimilarTo	enhanced
increased	SimilarTo	inflated
increased	SimilarTo	multiplied
expression	IsA	organic_process
expression	Synonym	saying
use	Entails	consume
p	Synonym	phosphorus
p	IsA	letter
p	PartOf	the_alphabet
p	IsA	"P"
disease	RelatedTo	illness
disease	RelatedTo	sickness
disease	AtLocation	a_hospital
disease	IsA	disease
breast	MannerOf	converge
higher	SimilarTo	high
mortality	Synonym	deathrate
mortality	IsA	impermanence
human	AtLocation	the_school
human	AtLocation	homes
human	AtLocation	a_workplace
human	HasA	five_fingers_on_each_hand
therapy	IsA	therapy
therapy	IsA	therapy
therapy	IsA	therapy
therapy	HasContext	medicine
protein	IsA	macromolecule
protein	IsA	protein
protein	IsA	protein
protein	IsA	protein
high	DistinctFrom	low
high	SimilarTo	soaring
high	IsA	elation
high	SimilarTo	advanced
activation	IsA	beginning
activation	IsA	stimulation
receptor	IsA	receptor
receptor	IsA	receptor
receptor	IsA	structure
receptor	Synonym	sense_organ
role	Synonym	function
effects	IsA	personal_property
effects	Synonym	effects
group	IsA	a_group
group	IsA	a_set
gene	IsA	gene
gene	IsA	gene
gene	IsA	gene
gene	PartOf	chromosome
among	RelatedTo	between
among	RelatedTo	amidst
incidence	Synonym	incidence
rates	HasContext	United_Kingdom
rates	IsA	rates
rates	IsA	tax
blood	RelatedTo	red
blood	CapableOf	be_coursing_through_your_veins
blood	RelatedTo	fluid
blood	RelatedTo	liquid
weight	RelatedTo	measurement
weight	RelatedTo	mass
weight	RelatedTo	pounds
weight	RelatedTo	heavy
reduced	Synonym	decreased
reduced	Synonym	rock-bottom
diabetes	IsA	polygenic_disorder
diabetes	IsA	disease
data	IsA	information
data	IsA	collection
data	IsA	data
data	IsA	data
birth	RelatedTo	birth
birth	IsA	change
birth	Synonym	parturition
years	Synonym	old_age
years	Synonym	days
years	Synonym	long_time
also	RelatedTo	too
also	Synonym	likewise
less	RelatedTo	little_a
less	SimilarTo	inferior
less	SimilarTo	fewer
tumor	IsA	tumor
tumor	IsA	tumor
screening	Synonym	cover
screening	IsA	testing
screening	IsA	fabric
screening	IsA	display
infection	Synonym	contagion
infection	IsA	infection
may	RelatedTo	month
may	RelatedTo	april
may	RelatedTo	after
may	RelatedTo	after_april
neurons	ReceivesAction	surrounded_by_a_membrane
neurons	NotCapableOf	regenerate_once_dead
neurons	HasA	a_nucleus_that_contains_genes
neurons	HasA	specialized_projections_called_dendrites_and_axons
95	SimilarTo	cardinal
95	IsA	a_national_highway
study	HasPrerequisite	concentration
study	HasSubevent	that_you_learn_things
study	HasPrerequisite	open_the_book
study	HasPrerequisite	concentrate
factor	MannerOf	calculate
factor	Synonym	agent
factor	Synonym	factor
signaling	Synonym	signal
effective	SimilarTo	operational
normal	HasContext	psychology
normal	SimilarTo	average
normal	RelatedTo	sane
results	IsA	acheived_by_testing
type	HasPrerequisite	have_a_keyboard
type	HasPrerequisite	use_a_keyboard
type	HasPrerequisite	sit_at_the_keyboard
type	HasPrerequisite	have_fingers
embryonic	Synonym	embryologic
embryonic	SimilarTo	early
rate	MannerOf	judge
rate	IsA	rate
dna	IsA	a_molecule
dna	IsA	a_complex_molecule
dna	IsA	a_double_stranded_molecule
dna	AtLocation	a_cell
resistance	IsA	resistance
resistance	HasContext	psychiatry
production	IsA	industry
production	IsA	production
production	IsA	exhibition
cytology	IsA	microscopic_anatomy
cytology	IsA	biology
mouse	AtLocation	a_hole_in_a_wall
mouse	AtLocation	the_garage
mouse	AtLocation	a_laboratory
mouse	AtLocation	the_attic
death	PartOf	life
death	AtLocation	a_war
death	CapableOf	bring_sorrow
death	Causes	death
severe	Synonym	life-threatening
severe	Synonym	knockout
severe	Synonym	spartan
million	SimilarTo	cardinal
million	IsA	large_integer
decreased	SimilarTo	ablated
decreased	SimilarTo	diminished
decreased	SimilarTo	minimized
decreased	SimilarTo	attenuated
age	RelatedTo	old
age	RelatedTo	years
age	RelatedTo	number
age	RelatedTo	how
proteins	IsA	nutrient_contained_in_food
proteins	IsA	basic_molecules
kinase	IsA	enzyme
induced	SimilarTo	iatrogenic
induced	SimilarTo	elicited
