word	count
cell	1479
cancer	686
risk	660
ci	605
increase	550
use	428
mouse	426
patient	410
associate	408
expression	406
high	379
disease	366
protein	332
human	320
reduce	314
gene	308
factor	300
group	274
activity	274
cells	268
function	263
activation	259
low	257
level	255
treatment	253
control	252
role	251
breast	244
study	241
development	234
response	232
receptor	230
result	228
rate	227
show	214
mortality	210
tumor	208
stem	207
compare	204
type	202
age	201
effect	201
woman	200
significantly	196
interval	195
also	195
among	194
confidence	193
increased	192
therapy	191
pathway	187
incidence	184
decrease	183
cause	181
infection	179
weight	176
outcome	175
cervical	174
death	173
birth	172
blood	172
require	170
year	170
data	170
less	169
ratio	169
regulate	168
tissue	167
dna	166
signal	166
suggest	164
may	164
model	164
mechanism	162
million	161
lead	161
diabetes	155
target	153
analysis	152
associated	151
growth	150
normal	144
mutation	143
induce	142
formation	141
immune	141
production	140
transcription	137
kinase	137
neuron	136
macrophage	136
resistance	134
effective	134
embryonic	132
improve	128
conclusion	127
adult	126
reduction	126
patients	126
differentiation	125
provide	121
rna	120
include	119
complex	119
cardiovascular	119
mice	119
association	118
inflammatory	118
epithelial	118
severe	117
event	116
progression	115
identify	115
hr	114
indicate	113
per	112
early	112
relative	112
primary	111
acid	109
individual	109
survival	108
acute	108
specific	108
three	108
important	104
promote	104
involve	104
exercise	104
two	103
potential	102
demonstrate	102
number	102
life	102
develop	101
detect	101
signaling	101
inhibitor	101
time	100
chronic	98
vs	98
enhance	97
cytology	97
vivo	96
loss	96
new	96
sensitivity	96
genetic	96
change	96
higher	96
lack	95
one	95
antibody	95
vitamin	94
population	93
prior	93
concentration	92
occur	92
drug	91
major	91
difference	91
cycle	91
odds	91
inflammation	91
obesity	91
cytokine	91
replication	90
system	90
virus	89
find	89
clinical	89
play	89
activate	88
without	88
produce	88
muscle	88
mean	87
pressure	87
likely	86
form	85
lung	85
via	85
reduces	85
functional	84
induction	84
regulation	84
homeostasis	84
female	84
energy	84
significant	83
active	83
deficiency	83
cellular	83
hpv	83
screening	82
essential	82
total	82
progenitor	82
plasma	81
decreased	81
treat	81
within	81
contribute	80
phosphorylation	80
inhibit	80
regulator	79
people	78
mitochondrial	78
interaction	78
stable	77
reduced	77
monocyte	77
multiple	77
neutrophil	76
surgery	76
capacity	75
lower	75
domain	75
large	74
point	74
autoimmune	74
physical	74
key	73
mutant	73
express	73
dementia	73
stroke	72
intervention	72
whereas	72
accumulation	72
placebo	71
affect	71
care	71
body	71
common	71
conventional	71
layer	71
levels	71
evidence	70
hiv	70
insulin	70
prevent	70
thymic	70
women	70
stress	69
encode	69
first	69
vitro	69
headache	68
pregnancy	68
compared	68
child	67
well	67
participant	67
index	67
exposure	67
cholesterol	67
act	67
apoptosis	66
neoplasia	66
overall	65
due	65
hazard	65
adjust	65
count	65
gastric	65
screen	65
although	65
kg	65
allele	64
fibrosis	64
process	64
detection	64
reveal	64
trial	64
nuclear	64
proteins	64
methylation	64
prevalence	63
period	63
month	63
serum	63
finding	63
establish	63
rapid	63
regulatory	63
different	62
great	62
proliferation	62
men	62
fracture	62
histone	62
intraepithelial	62
transplantation	61
many	61
support	61
adjusted	61
heart	61
prostate	61
brain	61
germ	61
failure	60
give	60
upon	60
antidepressant	60
combination	60
metabolism	59
innate	59
intestinal	59
rates	59
membrane	58
phenotype	58
damage	58
consumption	58
factors	58
systemic	57
induces	57
component	57
effects	57
renal	56
family	56
respectively	56
similar	56
area	56
induced	56
lesion	56
transcriptional	56
male	56
sex	56
previously	55
case	55
know	55
medullary	55
thus	54
mrna	54
rise	54
viral	54
grade	54
program	53
measure	53
smoking	53
attempt	53
region	53
impact	53
structure	53
glioma	53
maintain	53
signalling	52
kidney	52
molecule	52
even	52
genome	52
remain	52
improvement	52
least	52
extracellular	52
health	52
bind	52
sympathetic	52
enzyme	51
memory	51
correlate	51
influence	51
cohort	51
bone	51
range	51
suppress	51
link	51
somatic	51
actin	51
syndrome	50
value	50
estimate	50
birthweight	50
susceptibility	50
increases	50
hospital	49
site	49
therapeutic	49
autologous	49
myeloid	49
oxygen	49
generate	49
glutamate	49
glucose	48
could	48
presence	48
whether	48
tuberculosis	48
density	48
direct	48
longitudinal	48
studies	48
pancreatic	47
ability	47
strategy	47
ligand	47
ovarian	47
protection	47
manner	47
defect	47
crucial	47
state	47
fibroblast	47
information	47
neurons	47
colorectal	46
liver	46
highly	46
critical	46
score	46
adipose	46
relationship	46
host	46
mtecs	46
mtec	46
metastasis	45
sequence	45
global	45
elevate	45
predict	45
molecular	45
binding	45
network	45
surgical	45
positive	44
reproductive	44
mediate	44
single	44
condition	44
hypertension	44
across	44
genomic	44
slow	44
iron	44
base	43
adverse	43
markedly	43
size	43
maintenance	43
culture	43
rr	43
endometrial	43
medication	42
current	42
deletion	42
migration	42
dendritic	42
either	42
tumour	42
bariatric	42
environmental	42
stimulate	42
calcium	42
delivery	41
mass	41
depletion	41
observe	41
contain	41
bacterial	41
independent	41
knockout	41
fat	41
novel	40
present	40
substantially	40
apolipoprotein	40
ad	40
combine	40
pain	40
trigger	40
suppressor	40
varenicline	40
years	40
day	39
animal	39
versus	39
positively	39
cardiac	39
aid	39
improved	39
cognitive	39
dietary	39
microtubule	39
general	38
report	38
lupus	38
poor	38
relate	38
known	38
alpha	38
malaria	38
secretion	38
adhesion	38
migraine	38
inhibition	38
specie	38
later	38
release	38
differentiate	38
atherosclerosis	38
mutations	38
dysfunction	37
chromatin	37
young	37
take	37
status	37
homozygous	37
art	37
directly	37
block	37
stromal	37
expenditure	37
medical	37
atherosclerotic	37
recruitment	37
cerevisiae	37
hypothalamic	37
stage	37
granuloma	37
found	37
results	37
diagnose	36
infant	36
marker	36
receive	36
ii	36
absence	36
throughout	36
distinct	36
lipoprotein	36
plaque	36
lineage	36
balance	36
articles	36
mental	35
maternal	35
ampk	35
peptide	35
antibiotic	35
healthy	35
partnership	35
line	35
effector	35
promotes	35
nerve	35
homocysteine	34
improves	34
probability	34
reserve	34
history	34
hematopoietic	34
carrier	34
gain	34
five	34
member	34
cortical	34
injury	34
myocardial	34
follow	34
leukemia	34
complete	34
transport	34
reactive	34
transcript	34
aire	34
pyridostatin	34
rank	34
unknown	33
secondary	33
participate	33
environment	33
sle	33
subject	33
enhanced	33
long	33
efficiency	33
monocytes	33
however	33
side	33
test	33
inhibits	33
myocarditis	33
occurs	33
exhibit	32
class	32
diminished	32
relevance	32
implicate	32
chain	32
autophagy	32
enhancer	32
small	32
antigen	32
translation	32
lifestyle	32
proper	32
mical	32
telomere	32
genes	32
uk	31
folic	31
variant	31
determine	31
genotype	31
carcinoma	31
along	31
prevents	31
murine	31
selective	31
mechanical	31
synthesis	31
cost	31
alternative	31
visual	31
hormone	31
coronary	31
combined	31
acetylation	31
xenograft	31
spinal	31
rankl	31
walk	31
determined	31
replacement	30
adulthood	30
metabolizers	30
main	30
recent	30
conceive	30
benefit	30
persistent	30
would	30
premature	30
enhances	30
aged	30
degradation	30
specificity	30
antimicrobial	30
six	30
necessary	30
quality	30
dynamic	30
lipid	30
cycling	30
aberrant	30
peripheral	30
achieve	30
copd	30
pol	30
pten	30
naive	30
anxiety	30
identified	30
pioglitazone	30
conclusions	30
intake	29
solely	29
erythrocyte	29
poorly	29
start	29
knockdown	29
various	29
ldl	29
live	29
volume	29
elderly	29
beta	29
metabolic	29
impaired	29
invasion	29
bat	29
chemokines	29
chromosome	29
sepsis	29
neurotransmission	29
shoulder	29
expressed	29
round	29
granule	29
warfarin	29
individuals	29
radiation	28
national	28
skin	28
ige	28
assess	28
monitoring	28
infertility	28
strong	28
central	28
repair	28
neural	28
efficient	28
frequency	28
despite	28
postoperative	28
prolonged	28
notch	28
trimethylamine	28
cin	28
transmission	27
baseline	27
extensive	27
serious	27
dose	27
recurrence	27
previous	27
white	27
profile	27
susceptible	27
strongly	27
product	27
vary	27
several	27
checkpoint	27
neuronal	27
part	27
sirna	27
impairment	27
standard	27
might	27
four	27
brown	27
generation	27
independently	27
postmenopausal	27
monoclonal	27
surface	27
thereby	27
substrate	27
modulate	27
oxidative	27
glioblastoma	27
pharmacist	27
oral	27
statin	27
children	27
events	27
derive	26
severity	26
nephritis	26
supplementation	26
week	26
marrow	26
display	26
embryo	26
polarization	26
therefore	26
infarction	26
targeting	26
thermogenic	26
mammalian	26
surveillance	26
recall	26
length	26
residue	26
activated	26
causal	26
mucosa	26
synaptic	26
uptake	26
ten	26
colitis	26
force	26
sct	26
needle	26
ultrasound	26
groups	26
based	26
sample	25
responsiveness	25
country	25
tyrosine	25
vaccine	25
approach	25
relevant	25
endothelial	25
activator	25
origin	25
monotherapy	25
genetically	25
antiretroviral	25
accompany	25
subsequent	25
importance	25
beige	25
responses	25
net	25
systolic	25
gut	25
bleeding	25
targeted	25
myoepithelial	25
training	25
hip	25
efficacy	24
raise	24
mesenchymal	24
see	24
disorder	24
hour	24
protects	24
neonatal	24
understood	24
immunity	24
unrelated	24
protect	24
pylorus	24
reprogramming	24
hepatic	24
alone	24
phase	24
effectively	24
incident	24
depend	24
trend	24
specifically	24
tolerance	24
sustained	24
sexual	24
circadian	24
mitosis	24
prevention	24
interacts	24
microbial	24
hemorrhage	24
alcohol	24
haart	24
fibrinogen	24
derivative	24
scnt	24
ade	24
axonal	24
