subject	predicate	object
pyrolysis	IsA	transformation
pathogenesis	IsA	pathologic_process
cultures	ReceivesAction	grown_in_testubes_and_artists_collectives
bottles	HasA	bottle_caps
bottles	IsA	a_specific_type_of_trash
bottles	MadeOf	green_glass
bottles	IsA	one_type_of_container
dependant	SimilarTo	conditional
stuck	SimilarTo	perplexed
stuck	SimilarTo	cragfast
experimentally	Synonym	through_an_experiment
iv	Synonym	intravenous_feeding
iv	Synonym	4
iv	Synonym	four
sealed	Synonym	plastered
sealed	SimilarTo	covered
sealed	SimilarTo	paved
sealed	SimilarTo	unopened
na	Synonym	sodium
pinocytosis	IsA	bodily_process
cyst	Synonym	vesicle
cyst	IsA	cyst
cyst	IsA	cyst
cyst	IsA	cyst
theca	IsA	sheath
theca	IsA	covering
trophoblast	IsA	membrane
trophoblast	PartOf	blastosphere
scaffolding	IsA	system
dissipation	IsA	dispersion
dissipation	Synonym	profligacy
dissipation	Synonym	waste
convenient	RelatedTo	expedient
recipes	IsA	so_basic
recipes	ReceivesAction	found_in_cookbooks
recipes	ReceivesAction	passed_from_generation_to_generation
recipes	UsedFor	make_foods
ostrich	IsA	bird
ostrich	IsA	ratite
civilization	IsA	social_process
civilization	Synonym	culture
journey	Synonym	travel
ended	Synonym	concluded
respire	MannerOf	breathe
respire	Synonym	breathe
respire	MannerOf	experience
capsid	Synonym	mirid_bug
capsid	IsA	protein
capsid	PartOf	virion
keratin	IsA	scleroprotein
stroma	IsA	plant_tissue
stroma	IsA	animal_tissue
lumen	IsA	luminous_flux_unit
lumen	IsA	cavity
eyeball	PartOf	eye
eyeball	Synonym	eye
lips	ReceivesAction	found_on_the_mouth
lips	UsedFor	communicate
lips	UsedFor	speak
lips	UsedFor	licking
fascinating	SimilarTo	interesting
caudate	SimilarTo	swallow-tailed
caudate	SimilarTo	bobtailed
caudate	Synonym	urodele
caudate	Synonym	caudate
toluene	IsA	alkylbenzene
toluene	IsA	solvent
pericardium	IsA	serous_membrane
pericardium	PartOf	pericardium
magnetised	Synonym	magnetic
executive	IsA	executive
cap	IsA	protective_covering
cap	IsA	cap
immunoglobulin	IsA	immunoglobulin
immunoglobulin	IsA	immunoglobulin
immunoglobulin	IsA	immunoglobulin
