label	text_a	text_b
1	Nanotechnologies are emerging platforms that could be useful in measuring, understanding, and manipulating stem cells.	0-dimensional biomaterials lack inductive properties.
2	RESULTS Of the 32,441 appendix samples 16 were positive for abnormal PrP, indicating an overall prevalence of 493 per million population (95% confidence interval 282 to 801 per million).	1 in 5 million in UK have abnormal PrP positivity.
2	RESULTS Of the 32,441 appendix samples 16 were positive for abnormal PrP, indicating an overall prevalence of 493 per million population (95% confidence interval 282 to 801 per million).	1 in 5 million in UK have abnormal PrP positivity.
1	DESIGN Irreversibly unlinked and anonymised large scale survey of archived appendix samples. CONCLUSIONS This study corroborates previous studies and suggests a high prevalence of infection with abnormal PrP, indicating vCJD carrier status in the population compared with the 177 vCJD cases to date.	1 in 5 million in UK have abnormal PrP positivity.
1	Among the patients with cancer, stage was classified as early (stage I) vs all other (stages II-IV).	1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.
1	Although the cause of SIDS is unknown, immature cardiorespiratory autonomic control and failure of arousal responsiveness from sleep are important factors. However, to reduce the incidence even further, greater strides must be made in reducing prenatal smoke exposure and implementing other recommended infant care practices.	10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.
0	Policies requiring discontinuation of methadone in 32% of all programs contradict the evidence base for efficacy of long-term replacement therapies and potentially result in relapse of previously stable patients.	32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.
0	Policies requiring discontinuation of methadone in 32% of all programs contradict the evidence base for efficacy of long-term replacement therapies and potentially result in relapse of previously stable patients.	32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.
1	ContextChronic hepatitis C is the leading cause for liver transplantation in the United States. Ninety-four percent have addiction treatment requirements.	32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.
1	Wolfram syndrome 1 (WFS1) has been shown to be an important regulator of the ER stress signalling pathway; however, its role in β-cell function remains unclear.	4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.
1	Here we provide evidence that WFS1 is essential for glucose- and glucagon-like peptide 1 (GLP-1)-stimulated cyclic AMP production and regulation of insulin biosynthesis and secretion. Endoplasmic reticulum (ER) stress causes pancreatic β-cell dysfunction and contributes to β-cell loss and the progression of type 2 diabetes.	4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.
0	RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.
0	CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.
0	RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group. CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.
1	CONTEXT High plasma homocysteine levels are a risk factor for mortality and vascular disease in observational studies of patients with chronic kidney disease. TRIAL REGISTRATION clinicaltrials.gov Identifier: NCT00032435.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.
1	Enzymatic analysis of mutant proteins showed that base substitutions conferred increased enzymatic activity and resistance to treatment with nucleoside analog therapies.	5'-nucleotidase metabolizes 6MP.
1	On the basis of in vivo KLF4 chromatin immunoprecipitation–sequencing (ChIP-seq) analyses and studies of cholesterol-treated cultured SMCs, we identified >800 KLF4 target genes, including many that regulate pro-inflammatory responses of SMCs. Here, using Myh11-CreERT2 ROSA floxed STOP eYFP Apoe−/− mice to perform SMC lineage tracing, we find that traditional methods for detecting SMCs based on immunostaining for SMC markers fail to detect >80% of SMC-derived cells within advanced atherosclerotic lesions.	50% of patients exposed to radiation have activated markers of mesenchymal stem cells.
1	In developing regions, the prevalence was forecasted to decline from 30.2% to 19.3%, a change of -36% (95% CI, -45% to -26%).	53% of perinatal mortality is due to low birth weight.
1	The selective effect of the coverage change on proximal colon lesions suggests that increased use of whole-colon screening modalities such as colonoscopy may have played a pivotal role.	61% of colorectal cancer patients are diagnosed with regional or distant metastases.
1	Our results suggest that specific longevity treatments have acute and long-term effects on cognitive functions that decline with age through their regulation of rate-limiting genes required for learning and memory.	7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.
1	Our results suggest that specific longevity treatments have acute and long-term effects on cognitive functions that decline with age through their regulation of rate-limiting genes required for learning and memory.	7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.
