claim_ids	premises	hypotheses	labels
2	RESULTS Of the 32,441 appendix samples 16 were positive for abnormal PrP, indicating an overall prevalence of 493 per million population (95% confidence interval 282 to 801 per million).	1 in 5 million in UK have abnormal PrP positivity.	contradiction
2	CONCLUSIONS This study corroborates previous studies and suggests a high prevalence of infection with abnormal PrP, indicating vCJD carrier status in the population compared with the 177 vCJD cases to date.	1 in 5 million in UK have abnormal PrP positivity.	neutral
9	Policies requiring discontinuation of methadone in 32% of all programs contradict the evidence base for efficacy of long-term replacement therapies and potentially result in relapse of previously stable patients.	32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.	entailment
9	Eighty-eight percent of the responding programs require at least 6 months of abstinence from alcohol; 83% from illicit drugs.	32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.	neutral
12	RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.	entailment
12	CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.	entailment
12	MAIN OUTCOME MEASURES The primary outcome was all-cause mortality.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.	neutral
12	Median follow-up was 3.2 years for 2056 participants aged 21 years or older with advanced chronic kidney disease (estimated creatinine clearance < or =30 mL/min) (n = 1305) or end-stage renal disease (n = 751) and high homocysteine levels (> or = 15 micromol/L).	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.	neutral
22	Although disorder severity was correlated with probability of treatment in almost all countries, 35.5% to 50.3% of serious cases in developed countries and 76.3% to 85.4% in less-developed countries received no treatment in the 12 months before the interview.	76-85% of people with severe mental disorder receive no treatment in low and middle income countries.	entailment
22	Careful consideration needs to be given to the value of treating some mild cases, especially those at risk for progressing to more serious disorders.	76-85% of people with severe mental disorder receive no treatment in low and middle income countries.	neutral
28	We report that activation of basophils by autoreactive IgE causes their homing to lymph nodes, promoting T helper type 2 (T(H)2) cell differentiation and enhancing the production of self-reactive antibodies that cause lupus-like nephritis in mice lacking the Src family protein tyrosine kinase Lyn (Lyn(-/-) mice).	A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).	contradiction
