word	count
cells	654
cancer	474
risk	422
cell	393
associated	348
patients	323
ci	318
mice	247
increased	241
expression	236
use	232
p	211
treatment	194
disease	192
breast	192
higher	183
levels	178
activity	174
women	169
mortality	162
increases	158
human	156
function	152
therapy	149
development	147
protein	146
stem	146
compared	143
high	140
activation	137
cervical	137
receptor	136
role	130
lower	129
effects	128
group	126
factors	122
gene	122
among	121
significantly	121
reduces	120
incidence	119
rates	118
blood	118
weight	116
reduced	112
diabetes	111
data	109
birth	109
years	108
also	103
less	103
tumor	102
screening	101
infection	100
may	99
control	99
neurons	97
95	97
confidence	96
interval	94
study	94
factor	94
signaling	93
effective	92
normal	91
results	91
type	90
increase	90
studies	90
embryonic	90
rate	89
dna	88
resistance	88
production	87
cytology	87
mouse	86
death	86
events	86
severe	85
million	84
decreased	84
mutations	84
age	81
proteins	81
kinase	80
tissue	80
growth	80
induced	80
inflammatory	80
epithelial	80
ratio	79
outcomes	79
early	79
acute	79
primary	79
pathway	79
formation	79
people	78
immune	78
cardiovascular	78
likely	76
show	76
chronic	75
association	75
response	74
including	74
acid	73
progression	73
prior	73
required	72
potential	71
three	71
conventional	71
differentiation	70
vs	69
outcome	69
analysis	69
occurs	69
transcription	69
hpv	68
reduction	67
sensitivity	67
adjusted	66
monocytes	66
obesity	66
stroke	66
number	65
genetic	65
per	64
effect	64
individuals	64
important	64
pressure	64
capacity	63
new	63
vitamin	62
inflammation	62
found	62
life	62
models	61
loss	61
macrophages	61
population	60
model	60
exercise	60
rna	60
induction	59
energy	59
hr	58
relative	58
vivo	58
adults	58
target	58
involved	58
one	58
using	57
mean	56
known	56
specific	56
clinical	55
participants	55
lung	55
inhibitors	55
surgery	55
2	55
plasma	54
improves	54
essential	54
decreases	54
system	54
female	54
neoplasia	54
stable	53
b	53
survival	53
major	53
deficiency	53
pregnancy	53
common	53
detection	53
intraepithelial	53
treated	52
functional	52
mitochondrial	52
care	52
mechanism	52
active	51
two	51
hiv	51
reduce	50
antibodies	50
used	50
responses	50
g	50
detect	50
months	49
children	49
greater	49
cellular	49
regulates	49
based	49
evidence	48
leads	48
suggest	48
ovarian	48
aged	48
count	48
gastric	48
virus	48
prostate	48
sympathetic	48
significant	47
low	47
patient	47
time	47
heart	47
without	47
lack	47
key	47
odds	47
replication	47
induces	47
homeostasis	47
via	47
metabolism	46
insulin	46
identified	46
causes	45
smoking	45
genes	45
health	45
multiple	45
dementia	45
muscle	45
cases	44
lacking	44
fibrosis	44
longitudinal	44
transplantation	43
elevated	43
regulate	43
promotes	43
regulation	43
within	43
antidepressants	43
signals	43
fractures	43
placebo	42
drugs	42
physical	42
thymic	42
whether	41
total	41
apoptosis	41
impact	41
failure	41
plays	41
men	41
cognitive	41
complex	40
support	40
body	40
mutant	40
neutrophil	40
adult	40
vitro	40
groups	40
male	40
grade	40
suggesting	39
cycle	39
enhanced	39
areas	39
improved	39
autoimmune	39
combination	39
methylation	39
germ	39
types	39
positive	38
improve	38
similar	38
provide	38
rapid	38
actin	38
first	38
mechanisms	38
adverse	38
reducing	38
due	38
tuberculosis	38
showed	38
cancers	38
later	38
viral	38
level	37
different	37
reserve	37
observed	37
tissues	37
autologous	37
interaction	37
sex	37
prevalence	36
respectively	36
us	36
indicate	36
phosphorylation	36
functions	36
upon	36
develop	36
trials	36
signalling	36
somatic	36
domain	36
medications	36
medullary	36
systemic	35
hormone	35
diminished	35
even	35
subjects	35
tumors	35
expressed	35
exposure	35
caused	35
whereas	35
hypertension	35
extracellular	35
glutamate	35
brain	35
renal	34
difference	34
highly	34
status	34
mutation	34
controls	34
across	34
cholesterol	34
points	34
endometrial	34
surgical	34
intestinal	34
layers	34
overall	33
hazard	33
index	33
values	33
infertility	33
contribute	33
conditions	33
migration	33
drug	33
headaches	33
combined	33
weeks	33
bariatric	33
relationship	33
glucose	33
identify	33
allele	33
glioma	33
decrease	32
alpha	32
many	32
humans	32
throughout	32
changes	32
headache	32
although	32
hospital	32
cytokines	32
atherosclerotic	32
requires	32
c	32
medical	32
nerve	32
cause	31
erythrocyte	31
concentration	31
genome	31
well	31
period	31
information	31
intervention	31
resulted	31
susceptibility	31
accumulation	31
nuclear	31
result	30
serum	30
activated	30
current	30
taking	30
play	30
size	30
pain	30
consumption	30
conclusions	30
elderly	30
however	30
proliferation	30
progenitors	30
e	30
infected	30
inhibits	30
articles	30
hospitals	29
correlated	29
presence	29
findings	29
n	29
reproductive	29
ampk	29
art	29
determined	29
targeting	29
year	29
diseases	29
myeloid	29
tamoxifen	28
better	28
substantially	28
directly	28
demonstrate	28
membrane	28
could	28
innate	28
myocardial	28
general	28
cardiac	28
colorectal	28
transcriptional	28
binding	28
positively	28
act	28
bleeding	28
direct	28
hypothalamic	28
environmental	28
myocarditis	28
mtecs	28
warfarin	28
auditory	28
previously	27
kidney	27
setting	27
related	27
solely	27
homozygous	27
critical	27
pathways	27
therapeutic	27
receptors	27
mechanical	27
adipose	27
inhibitor	27
visual	27
antibody	27
dysfunction	27
carriers	27
measures	27
lesions	27
varenicline	27
aging	27
large	27
oral	27
program	27
controlled	27
mical	27
mediated	26
cohort	26
single	26
enhances	26
regulator	26
inhibiting	26
calcium	26
either	26
maintenance	26
postoperative	26
regulatory	26
analyses	26
form	26
infants	26
balance	26
memory	26
delivery	26
improving	26
slows	26
prisoners	26
hip	26
network	25
treating	25
family	25
ii	25
malaria	25
protection	25
pancreatic	25
maternal	25
prevents	25
state	25
independent	25
resulting	25
inhibition	25
lead	25
range	25
concentrations	25
fat	25
suppressor	25
kg	25
gestational	25
bone	25
give	25
rise	25
transport	25
lipid	25
side	25
global	25
species	25
knockout	25
1	25
affect	24
randomized	24
young	24
manner	24
apolipoprotein	24
access	24
infections	24
damage	24
polarization	24
sites	24
murine	24
impaired	24
genomic	24
rr	24
published	24
targeted	24
leading	24
depletion	24
inducing	24
shoulder	24
dietary	24
anxiety	24
atherosclerosis	24
susceptible	24
statin	24
ultrasound	24
uk	23
liver	23
mental	23
h	23
variants	23
encoding	23
developing	23
experimental	23
absence	23
crucial	23
neutrophils	23
hepatic	23
amitriptyline	23
promote	23
metastasis	23
tumour	23
histone	23
neurotransmission	23
influence	23
acetylation	23
exercises	23
leukemia	23
enzymes	23
knockdown	23
pioglitazone	23
severity	22
express	22
cycles	22
secretion	22
birthweight	22
deletion	22
produced	22
established	22
antiretroviral	22
ldl	22
monitoring	22
older	22
least	22
achieved	22
open	22
main	22
host	22
autonomous	22
mitosis	22
dexamethasone	22
naive	22
copd	22
effector	22
teaching	22
mtec	22
needle	22
walking	22
cx3cr1	22
regions	21
therapies	21
mass	21
priori	21
ad	21
unrelated	21
adhesion	21
regulating	21
dendritic	21
migraine	21
brown	21
live	21
bypass	21
symptoms	21
metabolic	21
dynamics	21
determination	21
expenditure	21
transcripts	21
necessary	21
sirna	21
gut	21
regulated	21
sepsis	21
glioblastoma	21
aids	21
sct	21
granulomas	21
axonal	21
linked	21
density	21
spinal	21
pyridostatin	21
rankl	21
3	21
replacement	20
metabolize	20
trait	20
falciparum	20
derived	20
lungs	20
along	20
remain	20
ability	20
bacterial	20
infarction	20
quality	20
frequency	20
induce	20
conclusion	20
autophagy	20
risks	20
depression	20
negatively	20
five	20
cycling	20
sexual	20
healthy	20
citrullinated	20
recruitment	20
ineffective	20
cost	20
release	20
markedly	20
coronary	20
progenitor	20
hematopoietic	20
molecular	20
trimethylamine	20
red	20
stromal	20
tnf	20
procedures	20
cited	20
thrombosis	20
unknown	19
serious	19
despite	19
markers	19
strong	19
estimated	19
macrophage	19
versus	19
lipoprotein	19
synthesis	19
component	19
thermogenic	19
impairment	19
sustained	19
oxygen	19
event	19
insomnia	19
determine	19
microtubule	19
lysine	19
cortical	19
alcohol	19
six	19
treat	19
degree	19
beta	19
volume	19
insertion	19
indicating	18
efficacy	18
baseline	18
basophils	18
lupus	18
previous	18
attempt	18
relevance	18
