label	text_a	text_b
2	RESULTS Of the 32,441 appendix samples 16 were positive for abnormal PrP, indicating an overall prevalence of 493 per million population (95% confidence interval 282 to 801 per million).	1 in 5 million in UK have abnormal PrP positivity.
1	SETTING Archived appendix samples from the pathology departments of 41 UK hospitals participating in the earlier survey, and additional hospitals in regions with lower levels of participation in that survey.	1 in 5 million in UK have abnormal PrP positivity.
0	Policies requiring discontinuation of methadone in 32% of all programs contradict the evidence base for efficacy of long-term replacement therapies and potentially result in relapse of previously stable patients.	32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.
1	Information from the United Network of Organ Sharing (UNOS) does not address substance use among liver transplantation patients.	32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.
0	RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.
0	CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.
1	Folic acid and B vitamins decrease homocysteine levels in this population but whether they lower mortality is unknown.	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.
1	It was lowered 6.3 micromol/L (25.8%; P < .001) in the vitamin group and 0.4 micromol/L (1.7%; P = .14) in the placebo group at 3 months, but there was no significant effect on mortality (448 vitamin group deaths vs 436 placebo group deaths) (hazard ratio [HR], 1.04; 95% CI, 0.91-1.18).	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.
0	Although disorder severity was correlated with probability of treatment in almost all countries, 35.5% to 50.3% of serious cases in developed countries and 76.3% to 85.4% in less-developed countries received no treatment in the 12 months before the interview.	76-85% of people with severe mental disorder receive no treatment in low and middle income countries.
1	Careful consideration needs to be given to the value of treating some mild cases, especially those at risk for progressing to more serious disorders.	76-85% of people with severe mental disorder receive no treatment in low and middle income countries.
2	We report that activation of basophils by autoreactive IgE causes their homing to lymph nodes, promoting T helper type 2 (T(H)2) cell differentiation and enhancing the production of self-reactive antibodies that cause lupus-like nephritis in mice lacking the Src family protein tyrosine kinase Lyn (Lyn(-/-) mice).	A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).
2	Individuals with SLE also have elevated serum IgE, self-reactive IgEs and activated basophils that express CD62 ligand (CD62L) and the major histocompatibility complex (MHC) class II molecule human leukocyte antigen-DR (HLA-DR), parameters that are associated with increased disease activity and active lupus nephritis.	A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).
2	Thus, in Lyn(-/-) mice, basophils and IgE autoantibodies amplify autoantibody production that leads to lupus nephritis, and in individuals with SLE IgE autoantibodies and activated basophils are factors associated with disease activity and nephritis.	A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).
0	At 9 years of follow-up, the recurrence rates were 14.9% for extensive metabolizers, 20.9% for heterozygous extensive/intermediate metabolizers, and 29.0% for poor metabolizers, and all-cause mortality rates were 16.7%, 18.0%, and 22.8%, respectively.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.
0	Compared with extensive metabolizers, there was a significantly increased risk of recurrence for heterozygous extensive/intermediate metabolizers (time to recurrence adjusted hazard ratio [HR], 1.40; 95% confidence interval [CI], 1.04-1.90) and for poor metabolizers (time to recurrence HR, 1.90; 95% CI, 1.10-3.28).	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.
0	Compared with extensive metabolizers, those with decreased CYP2D6 activity (heterozygous extensive/intermediate and poor metabolism) had worse event-free survival (HR, 1.33; 95% CI, 1.06-1.68) and disease-free survival (HR, 1.29; 95% CI, 1.03-1.61), but there was no significant difference in overall survival (HR, 1.15; 95% CI, 0.88-1.51).	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.
0	CONCLUSION Among women with breast cancer treated with tamoxifen, there was an association between CYP2D6 variation and clinical outcomes, such that the presence of 2 functional CYP2D6 alleles was associated with better clinical outcomes and the presence of nonfunctional or reduced-function alleles with worse outcomes.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.
1	DNA from tumor tissue or blood was genotyped for CYP2D6 variants associated with reduced (*10, *41) or absent (*3, *4, *5) enzyme activity.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.
1	Women were classified as having an extensive (n=609), heterozygous extensive/intermediate (n=637), or poor (n=79) CYP2D6 metabolism.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.
1	DESIGN, SETTING, AND PATIENTS Retrospective analysis of German and US cohorts of patients treated with adjuvant tamoxifen for early stage breast cancer.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.
1	CONTEXT The growth inhibitory effect of tamoxifen, which is used for the treatment of hormone receptor-positive breast cancer, is mediated by its metabolites, 4-hydroxytamoxifen and endoxifen.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.
2	CONCLUSIONS This study substantiates previous findings related to vaccine price and presents new evidence to suggest that GAVI eligibility is associated with accelerated decisions to adopt Hib vaccine.	A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.
1	The influence of neighboring country decisions was also highly significant, suggesting that approaches to support the adoption of new vaccines should consider supply- and demand-side factors.	A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.
0	RESULTS Median serum homocysteine level decreased with increasing folic acid dosage, to a maximum at 0.8 mg of folic acid per day, when the homocysteine reduction (placebo adjusted) was 2.7 micromol/L (23%), similar to the known effect of folic acid dosages of 1 mg/d and above.	A deficiency of folate increases blood levels of homocysteine.
1	METHODS We randomized 151 patients with ischemic heart disease to 1 of 5 dosages of folic acid (0.2, 0.4, 0.6, 0.8, and 1.0 mg/d) or placebo.	A deficiency of folate increases blood levels of homocysteine.
0	After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
0	Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
0	Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
0	Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
0	Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
1	Conception was defined as a positive pregnancy test result.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
1	Importance Despite lack of evidence of their utility, biomarkers of ovarian reserve are being promoted as potential markers of reproductive potential.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
1	These findings do not support the use of urinary or blood follicle-stimulating hormone tests or antimüllerian hormone levels to assess natural fertility for women with these characteristics.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
1	Exposures Early-follicular-phase serum level of antimüllerian hormone (AMH), follicle-stimulating hormone (FSH), and inhibin B and urinary level of FSH.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
1	Design, Setting, and Participants Prospective time-to-pregnancy cohort study (2008 to date of last follow-up in March 2016) of women (N = 981) aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, recruited from the community in the Raleigh-Durham, North Carolina, area.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.
2	After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
2	Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
2	Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
2	Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
2	Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
1	Conception was defined as a positive pregnancy test result.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
1	Results A total of 750 women (mean age, 33.3 [SD, 3.2] years; 77% white; 36% overweight or obese) provided a blood and urine sample and were included in the analysis.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
1	These findings do not support the use of urinary or blood follicle-stimulating hormone tests or antimüllerian hormone levels to assess natural fertility for women with these characteristics.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
1	Importance Despite lack of evidence of their utility, biomarkers of ovarian reserve are being promoted as potential markers of reproductive potential.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
1	Exposures Early-follicular-phase serum level of antimüllerian hormone (AMH), follicle-stimulating hormone (FSH), and inhibin B and urinary level of FSH.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.
0	Individuals homozygous for alpha(+)-thalassaemia have microcytosis and an increased erythrocyte count.We estimated that the haematological profile in children homozygous for alpha(+)-thalassaemia reduces the risk of SMA during acute malaria compared to children of normal genotype (relative risk 0.52; 95% confidence interval [CI] 0.24-1.12, p = 0.09).	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.
0	CONCLUSIONS The increased erythrocyte count and microcytosis in children homozygous for alpha(+)-thalassaemia may contribute substantially to their protection against SMA.	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.
1	We observed a reduction in median erythrocyte count of approximately 1.5 x 10(12)/l in all children with acute falciparum malaria relative to values in community children (p < 0.001).	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.
1	In addition, children homozygous for alpha(+)-thalassaemia require a 10% greater reduction in erythrocyte count than children of normal genotype (p = 0.02) for Hb concentration to fall to 50 g/l, the cutoff for SMA.	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.
1	A lower concentration of Hb per erythrocyte and a larger population of erythrocytes may be a biologically advantageous strategy against the significant reduction in erythrocyte count that occurs during acute infection with the malaria parasite Plasmodium falciparum.	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.
0	We assessed the in utero and neonatal role of two key regulators of pancreatic insulin secretion by studying birthweight and the incidence of neonatal hypoglycaemia in patients with heterozygous mutations in the maturity-onset diabetes of the young (MODY) genes HNF4A (encoding HNF-4α) and HNF1A/TCF1 (encoding HNF-1α), and the effect of pancreatic deletion of Hnf4a on foetal and neonatal insulin secretion in mice.	A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.
1	Background  Macrosomia is associated with considerable neonatal and maternal morbidity.	A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.
0	Individual genotyping of two SNPs (rs1934179 and rs7063116) in DGKK, encoding diacylglycerol kinase κ, produced compelling evidence for association with hypospadias in the discovery sample (allele-specific odds ratio (OR) = 2.5, P = 2.5 × 10−11 and OR = 2.3, P = 2.9 × 10−9, respectively) and in the Dutch (OR = 3.9, P = 2.4 × 10−5 and OR = 3.8, P = 3.4 × 10−5) and Swedish (OR = 2.5, P = 2.6 × 10−8 and OR = 2.2, P = 2.7 × 10−6) replication samples.	A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.
1	We performed a genome-wide association study using pooled DNA from 436 individuals with hypospadias (cases) and 494 controls of European descent and selected the highest ranked SNPs for individual genotyping in the discovery sample, an additional Dutch sample of 133 cases and their parents, and a Swedish series of 266 cases and 402 controls.	A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.
0	We detect a strong and reproducible bias in the phage genome locations from which spacers derive.	A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.
1	In two CRISPR systems and in replicate experiments, a few spacers account for the majority of spacer sequences.	A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.
0	In a series of 577 breast carcinomas, expression of ALDH1 detected by immunostaining correlated with poor prognosis.	ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.
1	These findings offer an important new tool for the study of normal and malignant breast stem cells and facilitate the clinical application of stem cell concepts.	ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.
0	Pharmacological activation of AMPK in myofibroblasts from lungs of humans with IPF display lower fibrotic activity, along with enhanced mitochondrial biogenesis and normalization of sensitivity to apoptosis.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.
0	In a bleomycin model of lung fibrosis in mice, metformin therapeutically accelerates the resolution of well-established fibrosis in an AMPK-dependent manner.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.
0	These studies implicate deficient AMPK activation in non-resolving, pathologic fibrotic processes, and support a role for metformin (or other AMPK activators) to reverse established fibrosis by facilitating deactivation and apoptosis of myofibroblasts.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.
1	Here, we demonstrate that in humans with idiopathic pulmonary fibrosis (IPF) and in an experimental mouse model of lung fibrosis, AMPK activity is lower in fibrotic regions associated with metabolically active and apoptosis-resistant myofibroblasts.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.
1	Fibrosis is a pathological result of a dysfunctional repair response to tissue injury and occurs in a number of organs, including the lungs1.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.
1	However, the role of AMPK in fibrosis is not well understood.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.
2	Using human neurons derived from induced pluripotent stem cells that expressed apolipoprotein E4 (ApoE4), a variant of the APOE gene product and the major genetic risk factor for AD, we demonstrated that ApoE4-expressing neurons had higher levels of tau phosphorylation, unrelated to their increased production of amyloid-β (Aβ) peptides, and that they displayed GABAergic neuron degeneration.	APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.
1	ApoE4 increased Aβ production in human, but not in mouse, neurons.	APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.
2	For a scenario in which 80% of HIV-infected individuals start treatment on average 1 y after their CD4 count drops below 350 cells/µl and 85% remain on treatment after 3 y, the models projected that HIV incidence would be 35% to 54% lower 8 y after the introduction of ART, compared to a counterfactual scenario in which there is no ART.	ART has no effect on the infectiveness of HIV-positive people.
2	Considering the actual scale-up of ART in South Africa, seven models estimated that current HIV incidence is 17% to 32% lower than it would have been in the absence of ART.	ART has no effect on the infectiveness of HIV-positive people.
2	CONCLUSIONS Mathematical models evaluating the impact of ART vary substantially in structure, complexity, and parameter choices, but all suggest that ART, at high levels of access and with high adherence, has the potential to substantially reduce new HIV infections.	ART has no effect on the infectiveness of HIV-positive people.
1	The impact of optimistic interventions including immediate ART initiation varied widely across models, maintaining substantial uncertainty about the theoretical prospect for elimination of HIV from the population using ART alone over the next four decades.	ART has no effect on the infectiveness of HIV-positive people.
1	BACKGROUND Many mathematical models have investigated the impact of expanding access to antiretroviral therapy (ART) on new HIV infections.	ART has no effect on the infectiveness of HIV-positive people.
1	Differences between model assumptions about CD4 decline and HIV transmissibility over the course of infection explained only a modest amount of the variation in model results.	ART has no effect on the infectiveness of HIV-positive people.
0	For a scenario in which 80% of HIV-infected individuals start treatment on average 1 y after their CD4 count drops below 350 cells/µl and 85% remain on treatment after 3 y, the models projected that HIV incidence would be 35% to 54% lower 8 y after the introduction of ART, compared to a counterfactual scenario in which there is no ART.	ART substantially reduces infectiveness of HIV-positive people.
0	Considering the actual scale-up of ART in South Africa, seven models estimated that current HIV incidence is 17% to 32% lower than it would have been in the absence of ART.	ART substantially reduces infectiveness of HIV-positive people.
0	CONCLUSIONS Mathematical models evaluating the impact of ART vary substantially in structure, complexity, and parameter choices, but all suggest that ART, at high levels of access and with high adherence, has the potential to substantially reduce new HIV infections.	ART substantially reduces infectiveness of HIV-positive people.
1	The number of person-years of ART per infection averted over 8 y ranged between 5.8 and 18.7.	ART substantially reduces infectiveness of HIV-positive people.
1	BACKGROUND Many mathematical models have investigated the impact of expanding access to antiretroviral therapy (ART) on new HIV infections.	ART substantially reduces infectiveness of HIV-positive people.
1	There was broad agreement regarding the short-term epidemiologic impact of ambitious treatment scale-up, but more variation in longer term projections and in the efficiency with which treatment can reduce new infections.	ART substantially reduces infectiveness of HIV-positive people.
0	Here we show that Cdk5 (cyclin-dependent kinase 5), activated by DNA damage, directly phosphorylates ATM at Ser 794 in post-mitotic neurons.	Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.
0	Thus, activation of Cdk5 by DNA damage serves as a critical signal to initiate the ATM response and regulate ATM-dependent cellular processes.	Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.
1	The Cdk5-ATM signal regulates phosphorylation and function of the ATM targets p53 and H2AX.	Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.
